id,scientificName,names_wo_author
597047,Halimium brasiliense (Lam.) Grosser,Halimium brasiliense
597049,Remirea wightiana Nees,Remirea wightiana
597100,Oncidium pentecostele Rchb.f.,Oncidium pentecostele
597101,Gomeza laxiflora (Lindl.) Klotzsch ex Rchb.f.,Gomeza laxiflora
597104,Peperomia subsessilifolia C.DC.,Peperomia subsessilifolia
597121,Alchornea castaneaefolia  A. Juss.,Alchornea castaneaefolia
597128,Artanthe kunthiana Miq.,Artanthe kunthiana
597261,Eubrachion arnottii Hook. f.,Eubrachion arnottii
597263,Irlbachia recurva (Benth.) Progel,Irlbachia recurva
597266,Adiantum serrato-dentatum Willd.,Adiantum serrato-dentatum
597291,Blumenbachia arechavaletae Urb.,Blumenbachia arechavaletae
597294,Trifolium pratense L.,Trifolium pratense
597298,Peperomia lenticularis Dahlst.,Peperomia lenticularis
597371,Vismia dealbata Kunth,Vismia dealbata
597373,Coussapoa setosa Klotzsch,Coussapoa setosa
597376,Swietenia tessmannii Harms,Swietenia tessmannii
597378,Heliotropium lagoense (Warm.) Gurke,Heliotropium lagoense
597379,Peperomia acuminatissima Miq.,Peperomia acuminatissima
597435,Amaryllis ambigua Sweet,Amaryllis ambigua
597436,Calathea nigro-costata Linden & André,Calathea nigro-costata
597437,Notocactus megapotamicus Osten ex Herter,Notocactus megapotamicus
597438,Brachypterys borealis A.Juss.,Brachypterys borealis
597439,Psychotria densecostata Müll. Arg.,Psychotria densecostata
597455,Vicia obscura Vogel,Vicia obscura
597456,Cedrela paraguariensis Mart.,Cedrela paraguariensis
597464,Selaginella excurrens Spring,Selaginella excurrens
597469,Coccoloba bracteolosa Meisn.,Coccoloba bracteolosa
597494,Coussapoa subincana Miquel,Coussapoa subincana
